Self-Transcendence,Self-Enhancement,Openness to change,Conservation,TWS,Sociability,Valence,Arousal,Energy,nTask,PROLIFIC_PID,userSetting,sbj,sex,age,education,Nationality,Ethnicity,Student status,Country of residence
4.417,2.75,4.5,3.667,2.7,2.5,4.5,4.5,3,3,4,human_many,4,Female,46,Graduate degree (MA/MSc/MPhil/other),United Kingdom,White,No,United Kingdom
5,4.25,5.833,3.167,2.4,4.25,7.5,6.5,2,3,5,human_many,5,Female,20,High school diploma/A-levels,Vietnam,Asian,Yes,Australia
5.417,4.75,5,5.167,3.2,3.5,10,7.5,4,3,6,dummy_few,6,Female,30,High school diploma/A-levels,South Africa,Mixed,No,South Africa
4.333,4,3.167,4.167,2.9,3,7.5,5.5,1,3,7,dummy_many,7,Male,20,High school diploma/A-levels,South Africa,Black,Yes,South Africa
4.75,4.5,4.5,4.667,2.9,2.5,8,3,3,3,8,human_many,8,Female,31,Undergraduate degree (BA/BSc/other),United Kingdom,White,No,United Kingdom
5.5,5.25,5.667,4.5,3.2,5,10,10,4,3,9,human_many,9,Female,35,Undergraduate degree (BA/BSc/other),South Africa,Black,No,South Africa
5.417,4.75,5.167,4.333,3.2,4.5,3,1,3,3,10,human_few,10,Female,26,Undergraduate degree (BA/BSc/other),South Africa,Black,No,South Africa
4.333,1.75,3.667,3.667,2.6,3,7.5,1.5,2,3,11,human_few,11,Female,25,Technical/community college,South Africa,Black,Yes,South Africa
3.917,3.75,4.167,5,3.3,2.5,7,5.5,3,4,17,human_many,17,Female,58,High school diploma/A-levels,Canada,White,No,Canada
3.917,4.25,3.833,2.667,3.7,4,7.5,3.5,3,3,21,dummy_few,21,Female,23,High school diploma/A-levels,United Kingdom,White,No,United Kingdom
