idx,PROLIFIC_PID,userSetting,model_name,temperature,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskOrder,TaskID,nObjects,ValidTaskID
0,4,human_many,gpt-4o-2024-08-06,1,Miniature Construction Challenge,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Desk', 'quantity': 1}]",Use the available building blocks to create a miniature architectural structure.,Lay all the building blocks on the desk. Sit comfortably and arrange the blocks to form a unique structure. Consider using three levels of structure as a potential challenge.,The goal is to creatively design and build a stable structure using all five blocks.,"Points are awarded for height (1 point per level), stability (5 points if it stands for 10 seconds without support), and creativity (rate from 1-5 based on design uniqueness).","['Building block', 'Desk']",0,0,2,0
0,4,human_many,gpt-4o-2024-08-06,1,Indoor Mini-Basketball Toss,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]",A fun throwing game to enhance focus and coordination by tossing a waste paper ball into a trash can from a distance.,Place the trash can on one side of the room. Stand at a designated spot approximately 3 meters away. Use the waste paper ball to practice making successful shots in the trash can.,Aim to make as many successful shots as possible within 10 attempts.,1 point per successful shot. Bonus of 2 points if you make 3 consecutive shots.,"['Waste paper ball', 'Trash can']",1,1,2,1
0,4,human_many,gpt-4o-2024-08-06,1,Kalimba Melodies,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Create soothing melodies with the Kalimba and jot down the tunes in a notebook.,Sit in a relaxed position with the Kalimba in hand. Dedicate time to experiment with different chords while keeping the notebook and pen handy to record any melody you find appealing.,"Compose a melody that lasts at least 30 seconds, focusing on relaxation and creativity.","Rate your melody on a scale of 1-10 based on self-satisfaction, uniqueness, and relaxation quality.","['Kalimba', 'Notebook', 'Pen']",2,2,3,2
1,5,human_many,gpt-4o-2024-08-06,1,Creative Block Towers,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Desk', 'quantity': 1}]","Construct unique towers using all available building blocks. The activity encourages creativity, problem-solving, and a bit of friendly competition.","Clear the surface of one desk, ensuring there is enough space to build. Place all five building blocks in the center. You or the other participant (if available) can start to build a tower, taking turns adding one block each time.","The goal is to build the tallest, most stable structure using all five building blocks without them toppling.",Each participant gets a score based on the height and stability of their tower. Assign 1 point per block used without collapsing. Additional points can be given for creativity and structural integrity (up to 5 bonus points). The participant with the highest score wins.,"['Building block', 'Desk']",0,3,2,3
1,5,human_many,gpt-4o-2024-08-06,1,Tea and Tunes Break,"[{'name': 'Kettle', 'quantity': 1}, {'name': 'Cup', 'quantity': 1}, {'name': 'Kalimba', 'quantity': 1}]",Brew a comforting cup of tea and play a soothing melody on the Kalimba for relaxation and stress relief.,"Use the kettle to boil water, then pour it into the cup for a suitable tea or warm drink of choice. While the drink cools, sit comfortably in a quiet area, maybe on the sofa or a chair, and strum a melody on the Kalimba.",The aim is to achieve a state of relaxation and mental clarity through the combination of a warm drink and music.,"Rate your relaxation level after the session on a scale from 1 to 10, where 10 signifies complete relaxation and rejuvenation.","['Kettle', 'Cup', 'Kalimba']",1,4,3,4
1,5,human_many,gpt-4o-2024-08-06,1,Sofa Newspaper Headlines,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Sofa', 'quantity': 1}]",Create fun or imaginative headlines using an existing newspaper. This task is meant to stretch creativity and offer a humorous break.,"Sit comfortably on the sofa, lay the newspaper out on your lap, and use the pen to modify existing headlines or create entirely new ones. Focus on whimsy, wit, or absurdity.","The objective is to transform at least five newspaper headlines, encouraging creativity and providing a good laugh.","Score each headline on a scale of 1 to 5 for creativity and humor, with 5 being the most entertaining. If there's another person, they can also rate your headlines to add a competitive element. The highest total score at the end wins.","['Newspaper', 'Pen', 'Sofa']",2,5,3,5
2,6,dummy_few,gpt-4o-2024-08-06,1,Creative Writing Challenge,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Engage in a creative writing exercise where the goal is to compose a short story or poem within a set time limit.,Sit comfortably on the sofa with the notebook and pen. Create a quiet environment with minimal distractions. The TV can be turned off and paintings admired for initial inspiration. Begin writing based on themes of altruism or personal goals.,The objective is to write a complete story or poem in 30 minutes.,"After the time is up, rate the story or poem on a 1-10 scale based on creativity, clarity, and personal satisfaction. A score of 10 indicates a high level of satisfaction with the narrative or poem.","['Notebook', 'Pen']",0,6,2,6
2,6,dummy_few,gpt-4o-2024-08-06,1,Mindfulness Meditation Setup,"[{'name': 'Pillow', 'quantity': 1}, {'name': 'Lamp', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]",Construct a space for mindfulness meditation to enhance relaxation and self-reflection.,"Place the rug in a quiet corner of the room, using the pillow for comfort in a cross-legged position. Dim the lamp to create a serene atmosphere. Focus on breathing techniques or visualization of peaceful scenarios for 20 minutes.",The aim is to achieve a clear and focused state of mind.,"Evaluate the meditation session on a 1-10 scale, rating based on the level of relaxation and mental clarity experienced, with 10 representing full clarity and calmness.","['Pillow', 'Lamp', 'Rug']",1,7,3,7
2,6,dummy_few,gpt-4o-2024-08-06,1,Room Decor Optimization,"[{'name': 'Clothes tree', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}, {'name': 'Clock', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}]",Rearrange room items to improve the aesthetic appeal and functionality of the space.,"Assess the room layout and shift items like the paintings, clock, clothes tree, and potted plant to new locations based on visual appeal and practicality. Use logic and creativity to enhance the room's atmosphere.",The goal is to create an inspiring and balanced room design.,"Evaluate the new room setup by assigning scores from 1-10 based on aesthetics, functionality, and personal satisfaction with the new arrangement, with 10 being fully satisfied and inspired.","['Clothes tree', 'Paintings', 'Clock', 'Potted plants']",2,8,4,8
3,7,dummy_many,gpt-4o-2024-08-06,1,Imaginative Block Tower,"[{'name': 'Building block', 'quantity': 5}, {'name': 'Book', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]","Construct the tallest and most imaginative tower possible using building blocks and a book for the base, while using the rug as your designated building area.","Place the rug on the floor to mark your building area. Use one of the books as a stable base on top of the rug. Begin stacking the building blocks one on top of the other, being as creative as possible with the design of your tower while ensuring stability.",The goal is to creatively design the tallest and most stable tower possible using the provided materials.,Score the tower based on two criteria: height (1 point for each visible block above the book) and creativity (rate from 1-5 based on unique design aspects). Maximum score: 10 points.,"['Building block', 'Book', 'Rug']",0,9,3,9
3,7,dummy_many,gpt-4o-2024-08-06,1,Kalimba Rhythm Relaxation,"[{'name': 'Kalimba', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Sofa', 'quantity': 1}]","Create and perform a soothing kalimba tune while comfortably seated, focusing on relaxation and creativity.","Sit on the sofa, using the pillow for added comfort. Hold the kalimba and gently experiment with its keys to create relaxing tunes, allowing your mood to guide the rhythm and melody.",The goal is to compose a calming piece on the kalimba that helps you unwind and elevate your mood.,"After 10 minutes of playing, rate your relaxation on a scale from 1 to 10, with 10 being completely relaxed. Use guitar tablature or write music notes in your notebook for bonus creativity points (up to 3).","['Kalimba', 'Pillow', 'Sofa']",1,10,3,10
