model_name,temperature,agent,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskID,name,TaskOrder,Agent,nObjects,userSetting
gpt-4o-mini-2024-07-18,1,naive,Creative Writing Challenge,"[{'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]",A creative writing session where the participant writes a short story in a limited amount of time.,"The participant sits at a desk or on a chair with the notebook and pen in hand. The environment is quiet and comfortable, allowing for concentration. A timer is set for 15 minutes.",The goal is to write a complete short story or an interesting creative piece within the time limit.,"Points are awarded based on the following criteria:
- 5 points for a complete story
- 3 points for a story that has a clear beginning, middle, and end
- 2 points for creativity and originality
- 1 point for effort if incomplete 
Maximum score is 10 points.","['Pen', 'Notebook']",0,few_dummy1_0.0,0,GPT-4o-mini,2,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Indoor Bowling Game,"[{'name': 'Bowl', 'quantity': 4}, {'name': 'Waste paper ball', 'quantity': 1}]",A fun bowling contest using a waste paper ball as the bowling ball and the bowls as the pins.,"Set up the bowls in a triangle formation on the floor, resembling a bowling lane. One chair can be used as the starting point or 'bowling line'. The participant stands behind it and rolls the waste paper ball towards the bowls.",The objective is to knock down as many bowls as possible with the waste paper ball.,"Each bowl knocked over scores 1 point. Keep a tally of points across multiple attempts. After 5 rounds, the score is totaled to declare a winner based on most points.","['Bowl', 'Waste paper ball']",1,few_dummy1_0.0,1,GPT-4o-mini,2,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Quick Art Challenge,"[{'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}]",A sketching challenge where the participant has to draw the potted plant in a creative way.,The participant finds a comfortable spot in the room to sit down with the notebook. The potted plant is placed in front for inspiration. A timer is set for 10 minutes.,The goal is to create an artistic sketch of the potted plant within the time frame.,"Artworks are judged on:
- 5 points for resemblance to the potted plant
- 3 points for creativity (use of styles, colors, etc.)
- 2 points for effort and neatness
Maximum score is 10 points. At the end, the participant can self-evaluate or show it to the 'Other people' present for their feedback.","['Pen', 'Notebook', 'Potted plants']",2,few_dummy1_0.0,2,GPT-4o-mini,3,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Book Cover Challenge,"[{'name': 'Book', 'quantity': 3}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]",Participants create their own covers for three different books using pen and notebook.,"The participant selects three books and places them on the desk. Using the pen and notebook, they sketch or write an imaginative cover design for each book, including title and illustrations.",The goal is to conceptualize and create the most creative and visually appealing book covers.,"- 1 point for each cover created (total of 3 points)
- Up to 2 points for creativity per cover (maximum of 6 points)
- A total score of up to 9 points can be achieved.","['Book', 'Pen', 'Notebook']",3,few_dummy2_0.0,0,GPT-4o-mini,3,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Fictional News Report,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Write and present a fictional news story based on the waste paper ball item.,"The participant reviews the newspaper for inspiration. Then using the pen and notebook page, they invent a unique news story involving the waste paper ball, making it a central aspect of the report. After writing, the participant reads it aloud, creating a new “news segment.”",The goal is to creatively engage in storytelling through a news report format.,"- 1 point for completing the written news report
- Up to 2 points for creativity and humor in the story
- Total possible score is 3 points.","['Newspaper', 'Waste paper ball', 'Pen']",4,few_dummy2_0.0,1,GPT-4o-mini,3,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Sock Puppet Show,"[{'name': 'Pillow', 'quantity': 2}, {'name': 'Dummy', 'quantity': 1}, {'name': 'Clothes hangers', 'quantity': 2}]","Using the pillows as props and the dummy as a character, create a sock puppet show.","The participant can prop up the pillows to create a stage. The dummy can be the main character, and the clothes hangers can support any makeshift puppets the participant wants to create using pillows or imaginative storytelling.","To put on a mini-production featuring the dummy, using interactive storytelling through the ""puppets"" created by the participant.","- 1 point for originality of the storyline 
- 1 point for use of props and character interaction 
- 1 point for humor or audience engagement (if there was another participant)
- Total possible score is 3 points.","['Pillow', 'Dummy', 'Clothes hangers']",5,few_dummy2_0.0,2,GPT-4o-mini,3,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Book Cover Design Contest,"[{'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}, {'name': 'Book', 'quantity': 1}]",Participants design a creative cover for a book using the notebook for sketches and the pen for details.,"Each participant sits at a desk or on the sofa with the notebook and pen in hand. They will look at the book for inspiration, sketching a cover design in the notebook while sitting comfortably.",The goal is to create the most imaginative and appealing book cover design based on the inspiration drawn from the book.,"Each design will be rated on a scale of 1 to 10 by the other person or the participant themselves based on creativity (4 points), practicality (3 points), and aesthetics (3 points). The total score from all judges will determine the winner.","['Notebook', 'Pen', 'Book']",6,few_dummy3_0.0,0,GPT-4o-mini,3,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Living Room Scavenger Hunt,"[{'name': 'Trash Can', 'quantity': 1}, {'name': 'Cup', 'quantity': 1}, {'name': 'Potted Plant', 'quantity': 1}, {'name': 'Tissue', 'quantity': 1}]","Participants search for specific items hidden around the room, finding them based on clues provided.","The items (trash can, cup, potted plant, and tissue) are placed in various locations around the room. The other person can provide hints or clues about where to find each item.",The goal is to find all the designated items as quickly as possible.,Each found item awards 1 point and finishing first will grant an additional 2 points. The participant with the highest total points wins.,"['Trash can', 'Cup', 'Tissue', 'Potted plants']",7,few_dummy3_0.0,1,GPT-4o-mini,4,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Creative Sofa Storytelling,"[{'name': 'Sofa', 'quantity': 1}, {'name': 'Pillow', 'quantity': 1}, {'name': 'Dummy', 'quantity': 1}, {'name': 'Painting', 'quantity': 1}]",A storytelling session where participants use the dummy to act out parts of the story while seated on the sofa with pillows for comfort.,"Participants arrange themselves on the sofa with pillows for support and comfort. They take turns telling a story. The dummy will be used as a prop to bring the story to life, and they can draw inspiration from the paintings on the wall.","The objective is to craft the most entertaining and cohesive story, integrating the dummy as a character.",All participants rate the stories on a scale of 1 to 10 for creativity (5 points) and humor (5 points). The participant with the highest combined score wins.,"['Sofa', 'Pillow', 'Dummy', 'Paintings']",8,few_dummy3_0.0,2,GPT-4o-mini,4,dummy_few
gpt-4o-mini-2024-07-18,1,naive,Paper Ball Toss,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}]","In this task, one player tries to toss a waste paper ball into a trash can from a distance.","Place the trash can at one end of the room. The player stands at the opposite end, with a clear line of sight. Mark a boundary line on the floor (using the nearby rug, for example) to indicate the distance for throwing.",The goal is to successfully throw the waste paper ball into the trash can from the designated throwing distance.,"1 point for each successful toss into the trash can. Bonus 2 points if the player makes three consecutive successful tosses. The player can throw a maximum of 10 times, and the total score will be summed at the end.","['Waste paper ball', 'Trash can']",9,few_dummy4_0.0,0,GPT-4o-mini,2,dummy_few
