model_name,temperature,agent,taskName,required_items,taskDescription,detailedSetting,goalSetting,scoringSystem,ObjectsData,TaskID,name,TaskOrder,Agent,nObjects,userSetting
gpt-4o-2024-08-06,1,naive,Bowling Trash Toss,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Potted plants', 'quantity': 1}]",Set up a waste paper bowling game using a trash can and a plant. The objective is to throw the waste paper ball into the trash can from a seated position.,"To start this task, place the trash can at one end of the room. Then, set the chair approximately 10 feet away from the trash can. Position the potted plant midway between the chair and the trash can, serving as an obstacle. The participant sits on the chair and tries to toss the waste paper ball into the trash can, aiming to avoid hitting the plant.","The goal of this task is to successfully land the waste paper ball into the trash can, bypassing the plant obstacle.","In this task, landing the paper in the trash can without touching the plant is worth 5 points. Landing the paper in the trash can after touching the plant earns 3 points. If the paper misses the trash can entirely, no points are scored. The participant is allotted five attempts, and the player with the most points at the end wins.","['Waste paper ball', 'Trash can', 'Chair', 'Potted plants']",0,few_dummy1_0.0,0,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Picture Perfect Pose,"[{'name': 'Dummy', 'quantity': 1}, {'name': 'Poster', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}, {'name': 'Pen', 'quantity': 1}, {'name': 'Notebook', 'quantity': 1}]",Create an art session where you sketch the dummy in various poses in relation to the poster and paintings.,"To start this task, situate the dummy in the center of the room. Arrange the two paintings on either side of the dummy. Place the poster behind the dummy. Use the pen and notebook to sketch the dummy with the backdrop of paintings and the poster.","The goal of this task is to complete a series of sketches focusing on different angles and perspectives, capturing the dummy's relation to the other artworks in the setting.","In this task, each sketch can be scored on composition, likeness, and expression on a scale of 1 to 10. The total score is out of 30 points per sketch. Aim for artistry and creativity to achieve the highest possible score across three sketches.","['Dummy', 'Poster', 'Paintings', 'Pen', 'Notebook']",1,few_dummy1_0.0,1,GPT-4o,5,dummy_few
gpt-4o-2024-08-06,1,naive,Clock Work Quiz,"[{'name': 'Clock', 'quantity': 1}, {'name': 'Newspaper', 'quantity': 1}, {'name': 'Chair', 'quantity': 2}]",Conduct a trivia quiz where questions are timed and participants answer before the clock strikes the minute mark.,"To start this task, place the clock where it is visible to both participant(s). Arrange the chairs to face each other, with the newspaper accessible to both. Use the newspaper to find and formulate trivia questions about current events. Each participant takes turns asking and answering questions.",The goal of this task is to answer as many trivia questions as possible before the clock's second hand reaches the 12 marker.,"In this task, each correct answer within the time frame scores 1 point. Incorrect answers or those given after the minute mark score 0 points. Play across five rounds, and the participant with the highest total score wins.","['Clock', 'Newspaper', 'Chair']",2,few_dummy1_0.0,2,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Newspaper Flick Challenge,"[{'name': 'Newspaper', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}, {'name': 'Bowl', 'quantity': 1}]",Players take turns flicking a crumpled-up newspaper page into a bowl from a set distance. The objective is to land as many flicks in the bowl as possible within a minute.,"Place a chair five feet away from where the bowl is placed on the floor. Tear a single page from the newspaper, crumple it into a ball to be used in flicking. Players sit on the chair and attempt to flick the newspaper ball into the bowl.",The aim is to score the highest number of successful flicks into the bowl within the allotted time.,Each successful flick into the bowl earns 2 points. Tally the number of successful flicks to determine the score within one minute. The highest score wins.,"['Newspaper', 'Waste paper ball', 'Chair', 'Bowl']",3,few_dummy2_0.0,0,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Potted Plant Art,"[{'name': 'Potted plants', 'quantity': 1}, {'name': 'Paintings', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}, {'name': 'Pen', 'quantity': 1}]",Create an art showcase by arranging a potted plant alongside paintings and sketch your final arrangement. Evaluate creativity and artistic impression.,Set the potted plant in any desirable position in the room. Arrange the two paintings on a nearby wall or propped against walls/furniture so they complement the plant. Use the notebook and pen to sketch how these elements are arranged.,The goal is to create the most aesthetically pleasing arrangement of the plant and paintings and sketch it accurately.,"Rate the arrangement on creativity (1-5 points) and visual appeal (1-5 points) for a maximum of 10 points. Share sketches and final results for subjective evaluation by others in the room, if available.","['Potted plants', 'Paintings', 'Notebook', 'Pen']",4,few_dummy2_0.0,1,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Broom Balance Challenge,"[{'name': 'Broom', 'quantity': 1}, {'name': 'Clock', 'quantity': 1}]",Participants try to balance a broom on their palm for as long as possible without it falling.,Stand in a clear area of the room. Hold the broom upright on the palm of one's hand. Use the clock to time how long the broom remains balanced.,The aim is to maintain the broom's balance for the longest time possible without it toppling over.,Each second the broom remains balanced counts as 1 point. The participant with the longest time and highest score wins.,"['Broom', 'Clock']",5,few_dummy2_0.0,2,GPT-4o,2,dummy_few
gpt-4o-2024-08-06,1,naive,Book Tower Challenge,"[{'name': 'Book', 'quantity': 5}, {'name': 'Bowl', 'quantity': 2}, {'name': 'Chair', 'quantity': 2}]",Build the tallest tower using only books and bowls on top of chairs without letting the structure collapse.,"Place two chairs about 3 feet apart to form the base of your structure. The participant begins by placing a bowl on each chair to provide an unstable base for the books. Using only the five books provided, the participant must construct a tower by balancing books alternately with bowls, stacking as high as possible while maintaining stability.",The goal is to build the tallest stable tower using all available books and bowls without the structure collapsing.,"Measure the height of the tower upon successful completion without collapse. The participant scores 1 point for each inch of tower height. If the tower collapses at any attempt, no points are scored for that round. Participants can attempt up to three times, and the highest score counts.","['Book', 'Bowl', 'Chair']",6,few_dummy3_0.0,0,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Quiet Time Relay,"[{'name': 'Rug', 'quantity': 1}, {'name': 'Pillow', 'quantity': 2}, {'name': 'Desk', 'quantity': 2}, {'name': 'Tissue', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}]","Create a path using pillows and desks to move a tissue from end to end of a room without it blowing away or being touched, using the waste paper ball to provide airflow.","Lay the rug in the center of the room to mark the start area. Place one pillow at each end of the rug to act as checkpoints. Angle the two desks along the sides of the rug to form a corridor leading from one pillow to the next. Place the tissue at one pillow, which marks the starting point. Use the waste paper ball’s momentum to generate airflow towards it.",The objective is to move the tissue from the starting pillow to the opposite pillow using only air currents created by blowing the waste paper ball towards it.,Award 5 points for successfully moving the tissue to the opposite pillow without direct contact. Deduct 1 point for each time the tissue is touched accidentally with hands. The task must be completed within 5 minutes for the score to count.,"['Rug', 'Pillow', 'Desk', 'Tissue', 'Waste paper ball']",7,few_dummy3_0.0,1,GPT-4o,5,dummy_few
gpt-4o-2024-08-06,1,naive,Living Room Croquet,"[{'name': 'Broom', 'quantity': 1}, {'name': 'Clothes hangers', 'quantity': 2}, {'name': 'Bowl', 'quantity': 1}, {'name': 'Rug', 'quantity': 1}]",Simulate a croquet game by knocking a bowl with a broom through arches made from clothes hangers laid out on a rug.,"Unfold the clothes hangers to create two rudimentary croquet arches. Position these arches on the rug at a distance of 5 feet apart. The participant uses the broom to strike the bowl like a mallet, attempting to pass it through the arches placed on the rug.","The aim is to manage the bowl's trajectory with the broom so it passes through both arches consecutively, similar to scoring in croquet.","Grant 3 points for each successful passage through an arch (6 points total if passing each arch once). If both arches are passed in succession, add an extra 2 points for a total of 8 points possible. Participants can try up to three rounds, and the highest score will count.","['Broom', 'Clothes hangers', 'Bowl', 'Rug']",8,few_dummy3_0.0,2,GPT-4o,4,dummy_few
gpt-4o-2024-08-06,1,naive,Trash Can Toss,"[{'name': 'Trash can', 'quantity': 1}, {'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Chair', 'quantity': 1}]",Test your aim by tossing a waste paper ball into a distant trash can while sitting in a chair.,Place the trash can at the far end of the room. Set up a chair approximately 10 feet away from the trash can. Sit on the chair with the waste paper ball in hand. Ensure there is a clear path between the chair and the trash can without obstacles.,The goal is to successfully throw the waste paper ball into the trash can while sitting from a fixed distance.,"The player gets 5 attempts. Each successful toss into the trash can earns 1 point. A perfect score is 5 points, and the participant can try to beat their previous score or set a personal best.","['Trash can', 'Waste paper ball', 'Chair']",9,few_dummy4_0.0,0,GPT-4o,3,dummy_few
gpt-4o-2024-08-06,1,naive,Beanbag Toss Challenge,"[{'name': 'Waste paper ball', 'quantity': 1}, {'name': 'Trash can', 'quantity': 1}, {'name': 'Chair', 'quantity': 2}, {'name': 'Notebook', 'quantity': 1}]","Participants compete to toss a waste paper ball into a trash can from varying distances, challenging their precision and accuracy.","Set the trash can at one end of the room. Place the two chairs at repeatable increments, e.g., one at 2 meters and the other at 4 meters from the trash can. As players progress, they will sit or stand from the respective chair positions to adjust the distance of their tosses. The waste paper ball is used as the throwing object. Participants note their successful attempts in the notebook.",Toss the waste paper ball into the trash can from each marked distance successfully.,"Each successful toss into the trash can scores points. The closer chair (2 meters away) offers 1 point per successful toss, while the farther chair (4 meters away) offers 3 points per successful toss. The player with the most points over five rounds wins.","['Waste paper ball', 'Trash can', 'Chair', 'Notebook']",10,few_dummy5_0.0,0,GPT-4o,4,dummy_few
