taskName,taskDescription,detailedSetting,goalSetting,scoringSystem,neededObjectsData,PROLIFIC_PID,nObjects,ObjectsData,TaskOrder,userSetting,sbj,TaskID,ValidTaskID
Ball in the Bowl,"Each player throws a waste paper ball and tries to get it into one of four bowls that have been set up on a desk, each bowl is worth a certain no of points.  Whoever gets the most points in the allocated time wins.",The 4 bowls will be laid out onto the desk with the clock at the side on a timer for each player.  Players take turns to throw waste paper ball into bowl.,Goal is for player to reach the highest score by throwing waste paper ball into high point bowls in quickest time. ,By getting waste paper ball into bowl and scoring the highest points wins.  ,"[{'id': 1, 'name': 'Other people', 'count': 1}, {'id': 23, 'name': 'Waste paper ball', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}, {'id': 30, 'name': 'Bowl', 'count': 4}, {'id': 10, 'name': 'Clock', 'count': 1}]",47,5,"['Other people', 'Waste paper ball', 'Desk', 'Bowl', 'Clock']",0,human_many,47,59,58
Hang the hangers,Each players throws the hanger from a distance and see who can get the most points by getting the hangers on the tree.  Higher the hanger higher the score. ,Tree a certain distance from the players and each player throws the hanger and tries to get onto the highest peg.,To get the hanger to stay hooked onto the highest peg on the tree,Whoever gets the highest peg first is the high scorer and wins the game. ,"[{'id': 11, 'name': 'Clothes tree', 'count': 1}, {'id': 24, 'name': 'Clothes hangers', 'count': 2}, {'id': 1, 'name': 'Other people', 'count': 1}]",47,3,"['Clothes tree', 'Clothes hangers', 'Other people']",1,human_many,47,60,59
Running Man,roll the dice and whichever number it lands on person has to run that number of minutes on the treadmill.  Person with lowest minutes wins! ,Treadmill laid on floor person throws dice onto floor then runs allocated time.  ,To run the least amount of time to win.  ,"The person who gets the least amount of running time on the treadmill wins, aim of the game in reverse order to win, usually highest score wins, this time its the lowest.","[{'id': 4, 'name': 'Dice', 'count': 1}, {'id': 7, 'name': 'Treadmill', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}]",47,3,"['Dice', 'Treadmill', 'Other people']",2,human_many,47,61,60
Find all the blocks,One person hides the building blocks around a room the other person to find them all in a certain time.  ,Building blocks are hidden all around a room in various places by one person whilst the other person closes eyes.  ,Blocks are hidden by one person and then minutes are set on the clock timer and the person who had eyes closed has to find all blocks within certain time.  If person doesn't find all blocks they lose.  ,Scoring is by numbering the blocks if find all you get top score if not you get what they add up to. ,"[{'id': 8, 'name': 'Building block', 'count': 1}, {'id': 10, 'name': 'Clock', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}]",47,3,"['Building block', 'Clock', 'Other people']",3,human_many,47,62,61
Country naming competition,Each person takes a turn writing as many countries as they can think of in 1 minute and whoever writes the most countries wins. ,Each person takes a turn using the pen to write the countries in the notebook while sitting on a chair and using the desk. The clock is placed on the desk and is used to time 1 minute. ,The goal of the task is to write as many countries as the person can think of in 1 minute and whoever writes the most wins.,Each country the person thinks of is awarded 1 point and whoever gets the most points wins.,"[{'id': 16, 'name': 'Notebook', 'count': 1}, {'id': 27, 'name': 'Pen', 'count': 1}, {'id': 31, 'name': 'Chair', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}, {'id': 10, 'name': 'Clock', 'count': 1}]",56,6,"['Notebook', 'Pen', 'Chair', 'Desk', 'Other people', 'Clock']",0,human_few,56,93,91
Waste paper toss,"Each person takes a turn throwing the waste paper ball in the trash while standing on the rug and then standing next to the desk, then the chair. Whoever misses the trash can first loses. ","The trash can is placed furthest away from the 2 people. The rug is placed a little bit in front of the trash, the desk is placed a bit behind it, and then the chair is placed behind the desk. ",The goal of the task is to get the waste paper ball into the trash at each distance level and whoever misses first loses. ,"There are no points, each person takes a turn and as long as they get the waste paper in the trash at the distance level, they keep going. Whoever misses the trash can first loses. ","[{'id': 23, 'name': 'Waste paper ball', 'count': 1}, {'id': 1, 'name': 'Other people', 'count': 1}, {'id': 12, 'name': 'Trash can', 'count': 1}, {'id': 18, 'name': 'Rug', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}, {'id': 31, 'name': 'Chair', 'count': 1}]",56,6,"['Waste paper ball', 'Other people', 'Trash can', 'Rug', 'Desk', 'Chair']",1,human_few,56,94,92
Painting Relaxation Journaling Task,"The person sits on the couch with the pillow, stares at the painting, and writes down any thoughts that come to mind. ",The pillow is on the couch where the person sits and the painting is a little bit in front of the couch. The person holds the notebook and the pen to write any thoughts that come to mind while looking at the painting. ,The goal of the task is to admire and appreciate the art and journal any thoughts and also to relax. ,The person can rate how relaxed they feel while doing the task on a scale from 1 (not at all relaxed) to 10 (very relaxed). ,"[{'id': 26, 'name': 'Paintings', 'count': 1}, {'id': 16, 'name': 'Notebook', 'count': 1}, {'id': 27, 'name': 'Pen', 'count': 1}, {'id': 19, 'name': 'Sofa', 'count': 1}, {'id': 28, 'name': 'Pillow', 'count': 1}]",56,5,"['Paintings', 'Notebook', 'Pen', 'Sofa', 'Pillow']",2,human_few,56,95,93
Paper basketball,Competition with self to see how many balls can be thrown into the basket.,Tears the newspaper into pieces and crumples them into a ball.   Sets up the clock within view.   Places the trash can at one end of the desk and stands at the opposite end.   Throws the crumpled paper over the desk and into the trash can.  Watches the clock and sees how many balls he can throw into the trash can in 5 minutes.   Writes in notebook how many acheived.   Take paper balls out of trash can and repeats.   Goal is to maximise balls into the trash can in 5 minutes. Repeat 1o times.  Rewards self with Time watching TV once game is finished.,Maximum balls of newspaper into trash can.,One point per ball successfully into trash can.,"[{'id': 27, 'name': 'Pen', 'count': 1}, {'id': 12, 'name': 'Trash can', 'count': 1}, {'id': 16, 'name': 'Notebook', 'count': 1}, {'id': 15, 'name': 'Newspaper', 'count': 1}, {'id': 10, 'name': 'Clock', 'count': 1}, {'id': 22, 'name': 'TV', 'count': 1}]",70,6,"['Pen', 'Trash can', 'Notebook', 'Newspaper', 'Clock', 'TV']",0,dummy_few,70,134,128
Sketching for enjoyment,Places plant on desk then draws it.,Place plant in front of you.   Sit on chair and draw it in the notebook with the pen.  Use lamp to see drawing well.  Draw the plant in various artistic styles on various pages of the notebook.,To improve my drawing skills and pass the time enjoyably.,"There is no scoring, it's a pass time.","[{'id': 29, 'name': 'Potted plants', 'count': 1}, {'id': 16, 'name': 'Notebook', 'count': 1}, {'id': 27, 'name': 'Pen', 'count': 1}, {'id': 14, 'name': 'Lamp', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}]",70,5,"['Potted plants', 'Notebook', 'Pen', 'Lamp', 'Desk']",1,dummy_few,70,135,129
Reading hide-away,Relives their childhood by reading inside a makeshift tent.,Hang rug over desk to make a tent.   Climb under the desk with the lamp and pillow and read the book in the cosy tent.   Relive childhood memories this way.,Read book and relax.,There is no scoring.,"[{'id': 18, 'name': 'Rug', 'count': 1}, {'id': 25, 'name': 'Desk', 'count': 1}, {'id': 33, 'name': 'Book', 'count': 1}, {'id': 14, 'name': 'Lamp', 'count': 1}, {'id': 28, 'name': 'Pillow', 'count': 1}]",70,5,"['Rug', 'Desk', 'Book', 'Lamp', 'Pillow']",2,dummy_few,70,136,130
